name,cal,pro,carb,fat,category
"三明治 (Sandwich, 1份)",320.0,12.0,35.0,14.0,
"蛋餅 (Dan Bing, 1份)",300.0,10.0,35.0,12.0,
"飯糰 (Taiwanese Rice Ball, 1顆)",420.0,12.0,58.0,15.0,
"燒餅油條 (Shaobing & Youtiao, 1份)",550.0,12.0,60.0,28.0,
"蔥抓餅 (Scallion Pancake, 1份)",380.0,8.0,48.0,17.0,
"蘿蔔糕 (Radish Cake, 2片)",210.0,4.0,32.0,7.0,
"荷包蛋 (Fried Egg, 1顆)",90.0,6.5,0.5,7.0,
"水煮蛋 (Boiled Egg, 1顆)",72.0,6.3,0.4,4.8,
"三杯雞 (Three-Cup Chicken, 1份)",480.0,32.0,8.0,35.0,
"滷肉飯 (Braised Pork Rice, 1碗)",500.0,15.0,65.0,20.0,
"雞排 (Fried Chicken Cutlet, 1份)",650.0,35.0,40.0,42.0,
"牛肉麵 (Beef Noodle Soup, 1碗)",600.0,28.0,70.0,22.0,
"小籠包 (Xiao Long Bao, 8顆)",520.0,24.0,48.0,26.0,
"陽春麵 (Plain Noodle Soup, 1碗)",350.0,10.0,60.0,7.0,
"水餃 (Dumplings, 10顆)",550.0,22.0,65.0,22.0,
"排骨飯 (Pork Chop Rice, 1份)",750.0,30.0,85.0,32.0,
"雞腿飯 (Chicken Leg Rice, 1份)",720.0,35.0,80.0,28.0,
"鍋貼 (Pan-fried Dumplings, 8顆)",600.0,18.0,65.0,30.0,
"鹹酥雞 (Salt Crispy Chicken, 1份)",550.0,25.0,30.0,35.0,
"蚵仔煎 (Oyster Omelet, 1份)",450.0,15.0,50.0,22.0,
"肉圓 (Bawwan, 1顆)",400.0,12.0,55.0,15.0,
"臭豆腐 (Stinky Tofu, 1份)",420.0,16.0,30.0,26.0,
"白米飯 (White Rice, 1碗)",280.0,5.4,61.0,0.6,
"糙米飯 (Brown Rice, 1碗)",250.0,5.5,52.0,1.8,
"水煮雞胸肉 (Chicken Breast, 100g)",165.0,31.0,0.0,3.6,
"地瓜 (Sweet Potato, 1條)",130.0,2.2,30.0,0.3,
"水煮青菜 (Boiled Veggies, 1盤)",60.0,2.5,10.0,1.5,
"沙拉 (Vegetable Salad, 1份)",120.0,3.0,15.0,5.0,
"鮭魚排 (Salmon, 120g)",250.0,24.0,0.0,16.0,
"珍珠奶茶 (Bubble Tea, 700ml/微糖)",450.0,4.0,75.0,15.0,
"無糖豆漿 (Soy Milk, 500ml)",175.0,16.0,10.0,7.0,
"鮮奶茶 (Milk Tea, 500ml)",280.0,8.0,35.0,11.0,
"美式咖啡 (Black Coffee, 360ml)",15.0,1.0,2.0,0.0,
"拿鐵 (Latte, 360ml)",180.0,9.0,15.0,9.0,
"豆花 (Douhua, 1碗)",250.0,8.0,40.0,6.0,
"蘋果 (Apple, 1顆)",78.0,0.4,21.0,0.3,
"香蕉 (Banana, 1根)",105.0,1.3,27.0,0.3,
"芭樂 (Guava, 1顆)",120.0,2.5,26.0,1.0,
"奇異果 (Kiwi, 2顆)",90.0,1.6,22.0,0.8,
"木瓜 (Papaya, 1片)",60.0,0.8,15.0,0.3,
"大麥克漢堡 (Big Mac, 1個)",590.0,26.0,46.0,34.0,
"薯條 (French Fries, 中份)",380.0,4.0,48.0,19.0,
"披薩 (Pizza, 1片)",280.0,12.0,30.0,12.0,
"義大利麵 (Pasta, 1份)",520.0,18.0,70.0,18.0,
白吐司 (半份),132.5,4.5,24.5,1.6,早餐/主食
白吐司 (小份),198.8,6.8,36.8,2.4,早餐/主食
白吐司 (1份),265.0,9.0,49.0,3.2,早餐/主食
白吐司 (1.25份),331.2,11.2,61.2,4.0,早餐/主食
白吐司 (1.5份),397.5,13.5,73.5,4.8,早餐/主食
白吐司 (2份),530.0,18.0,98.0,6.4,早餐/主食
白吐司 (2.5份),662.5,22.5,122.5,8.0,早餐/主食
白吐司 (3份),795.0,27.0,147.0,9.6,早餐/主食
白吐司 (小碗),198.8,6.8,36.8,2.4,早餐/主食
白吐司 (中碗),265.0,9.0,49.0,3.2,早餐/主食
白吐司 (大碗),357.8,12.2,66.2,4.3,早餐/主食
白吐司 (小杯),198.8,6.8,36.8,2.4,早餐/主食
白吐司 (中杯),265.0,9.0,49.0,3.2,早餐/主食
白吐司 (大杯),371.0,12.6,68.6,4.5,早餐/主食
白吐司 (小盒),198.8,6.8,36.8,2.4,早餐/主食
白吐司 (中盒),265.0,9.0,49.0,3.2,早餐/主食
白吐司 (大盒),371.0,12.6,68.6,4.5,早餐/主食
白吐司 (100g),265.0,9.0,49.0,3.2,早餐/主食
白吐司 (150g),397.5,13.5,73.5,4.8,早餐/主食
白吐司 (200g),530.0,18.0,98.0,6.4,早餐/主食
白吐司 (250g),662.5,22.5,122.5,8.0,早餐/主食
白吐司 (300g),795.0,27.0,147.0,9.6,早餐/主食
全麥吐司 (半份),123.5,6.5,20.5,2.1,早餐/主食
全麥吐司 (小份),185.2,9.8,30.8,3.2,早餐/主食
全麥吐司 (1份),247.0,13.0,41.0,4.2,早餐/主食
全麥吐司 (1.25份),308.8,16.2,51.2,5.2,早餐/主食
全麥吐司 (1.5份),370.5,19.5,61.5,6.3,早餐/主食
全麥吐司 (2份),494.0,26.0,82.0,8.4,早餐/主食
全麥吐司 (2.5份),617.5,32.5,102.5,10.5,早餐/主食
全麥吐司 (3份),741.0,39.0,123.0,12.6,早餐/主食
全麥吐司 (小碗),185.2,9.8,30.8,3.2,早餐/主食
全麥吐司 (中碗),247.0,13.0,41.0,4.2,早餐/主食
全麥吐司 (大碗),333.5,17.6,55.4,5.7,早餐/主食
全麥吐司 (小杯),185.2,9.8,30.8,3.2,早餐/主食
